time,TCOMP,SK,QTOP,QBOT,H0001,H0002,H0003,H0004,H0005,H0006,H0007,H0008,H0009,H0010,H0011,H0012,H0013,H0014,H0015,H0016,H0017,H0018,H0019,EST,ESM,ESB,PST,PSM,PSB,GS,ES
0.3831380695111,0.2343157493E-01,0.1019965236,-0.3063046733E-01,-0.3052653270E-01,8.060649297,9.792162005,9.977713577,9.997608225,9.999743092,9.999972381,9.999997028,9.999999680,9.999999965,9.999999992,9.999999962,9.999999655,9.999996810,9.999970502,9.999727505,9.997484904,9.976805999,9.786297442,8.033298078,982.4656665,985.7894737,991.9667019,980.5263158,985.7894737,990.0000000,2000.000000,1000.000000
0.7854330424977,0.4353221753E-01,0.1019556276,-0.2505919683E-01,-0.2490573924E-01,6.594525481,9.454193397,9.921323646,9.989308490,9.998600546,9.999821488,9.999977653,9.999997241,9.999999658,9.999999915,9.999999633,9.999997035,9.999976069,9.999809843,9.998519620,9.988787886,9.918341609,9.440244293,6.554141906,983.9317903,985.7894741,993.4458581,982.4656665,985.7894737,991.9667019,2000.000000,1000.000000
1.207842764134,0.6107402818E-01,0.1019200014,-0.2084911552E-01,-0.2067883648E-01,5.486609346,9.042665466,9.826518117,9.971387781,9.995567686,9.999343377,9.999905915,9.999986858,9.999998168,9.999999498,9.999998037,9.999985910,9.999899499,9.999302356,9.995323818,9.970074554,9.820411740,9.020564027,5.441799075,985.0397064,985.7894756,994.5582009,983.9317903,985.7894741,993.4458581,2000.000000,1000.000000
1.651372971851,0.7666359144E-01,0.1018883693,-0.1765882149E-01,-0.1748999810E-01,4.647058288,8.597439819,9.694047237,9.940557604,9.989337105,9.998195616,9.999707919,9.999954319,9.999992899,9.999997864,9.999992411,9.999951143,9.999688781,9.998087825,9.988779820,9.937990679,9.684066045,8.568247224,4.602631080,985.8792575,985.7894813,995.3973689,985.0397064,985.7894756,994.5582009,2000.000000,1000.000000
2.117079689955,0.9077192786E-01,0.1018597542,-0.1522635473E-01,-0.1506811145E-01,4.006935456,8.145504367,9.527789990,9.894315809,9.978416988,9.995883389,9.999255247,9.999870726,9.999977746,9.999992696,9.999976282,9.999862074,9.999208421,9.995648585,9.977347201,9.890029176,9.513536475,8.110746847,3.965292486,986.5193803,985.7894974,996.0347075,985.8792575,985.7894813,995.3973689,2000.000000,1000.000000
2.606071743964,0.1037613395,0.1018334119,-0.1335384146E-01,-0.1320980421E-01,3.514168806,7.704202922,9.333289699,9.831102227,9.961266402,9.991764340,9.998349806,9.999684476,9.999940208,9.999978721,9.999936449,9.999664173,9.998250384,9.991316476,9.959448410,9.824677660,9.314695264,7.665471576,3.476264265,987.0121470,985.7895372,996.5237357,986.5193803,985.7894974,996.0347075,2000.000000,1000.000000
3.119513400673,0.1159085483,0.1018087773,-0.1189384083E-01,-0.1176456049E-01,3.129958112,7.283873756,9.116701001,9.750302273,9.936425231,9.985071286,9.996712664,9.999312119,9.999857254,9.999945212,9.999848700,9.999269626,9.996523137,9.984298358,9.933603732,9.741407277,9.093962234,7.242608706,3.095936971,987.3963577,985.7896250,996.9040630,987.0121470,985.7895372,996.5237357,2000.000000,1000.000000
3.658627140218,0.1274240081,0.1017854223,-0.1073774915E-01,-0.1062223296E-01,2.825723461,6.889939817,8.884080712,9.652148925,9.902623183,9.974949316,9.993978904,9.998629018,9.999689883,9.999872270,9.999672216,9.998547834,9.993647164,9.973716174,9.898542275,9.640558073,8.857582137,6.847335835,2.795324464,987.7005923,985.7898015,997.2046755,987.3963577,985.7896250,996.9040630,2000.000000,1000.000000
4.224696566740,0.1384675884,0.1017630227,-0.9806303777E-02,-0.9702929112E-02,2.580606257,6.524512903,8.640952651,9.537566521,9.858858929,9.960502200,9.989699716,9.997460878,9.999376512,9.999725675,9.999342826,9.997316968,9.989158101,9.958656001,9.853280329,9.523167567,8.611192300,6.481499284,2.553402398,987.9457095,985.7901309,997.4465976,987.7005923,985.7898015,997.2046755,2000.000000,1000.000000
4.819069464588,0.1491610096,0.1017413316,-0.9042038887E-02,-0.8949059371E-02,2.379483918,6.187584954,8.392079671,9.407991074,9.804446286,9.940842420,9.983351939,9.995577241,9.998825462,9.999450282,9.998765437,9.995337698,9.982517560,9.938220045,9.797164674,9.390779026,8.359606303,6.144846088,2.355015624,988.1468319,985.7907082,997.6449844,987.9457095,985.7901309,997.4465976,2000.000000,1000.000000
5.443161007328,0.1595974991,0.1017201604,-0.8403447042E-02,-0.8319243075E-02,2.211433432,5.877882402,8.141383371,9.265192544,9.739029028,9.915139373,9.974354309,9.992687876,9.997907047,9.998962106,9.997806140,9.992310036,9.973130754,9.911575923,9.729883236,9.245255543,8.106748762,5.835896719,2.189274493,988.3148824,985.7916675,997.8107255,988.1468319,985.7907082,997.6449844,2000.000000,1000.000000
6.098457127206,0.1698491516,0.1016993631,-0.7860563283E-02,-0.7783742001E-02,2.068569285,5.593455936,7.891961532,9.111115778,9.662569047,9.882661291,9.962088875,9.988442677,9.996445855,9.998139465,9.996284629,9.987873861,9.960369173,9.877998723,9.651448609,9.088616490,7.855687790,5.552539474,2.048353158,988.4577465,985.7931891,997.9516468,988.3148824,985.7916675,997.8107255,2000.000000,1000.000000
6.786518053077,0.1799724527,0.1016788255,-0.7391692072E-02,-0.7321105491E-02,1.945182124,5.332070181,7.646163768,8.947749293,9.575314360,9.842807705,9.945925475,9.982435278,9.994213912,9.996813774,9.993967616,9.981613293,9.943596090,9.836902778,9.562161617,8.922904928,7.608723680,5.292417231,1.926606708,988.5811337,985.7955061,998.0733933,988.4577465,985.7931891,997.9516468,2000.000000,1000.000000
7.508982025242,0.1900123693,0.1016584563,-0.6981023695E-02,-0.6915747583E-02,1.837111499,5.091447715,7.405696012,8.777025162,9.477753953,9.795130774,9.925246983,9.974210181,9.990925388,9.994760764,9.990563894,9.973064620,9.922192485,9.787861667,9.462562357,8.750088381,7.367503612,5.053165097,1.819933574,988.6892043,985.7989098,998.1800664,988.5811337,985.7955061,998.0733933,2000.000000,1000.000000
8.267569196015,0.2000053492,0.1016381820,-0.6616924214E-02,-0.6556222251E-02,1.741295846,4.869411097,7.171733474,8.600749030,9.370566016,9.739345206,9.899473101,9.963272807,9.986233466,9.991692978,9.985721627,9.961727114,9.895581108,9.730616401,9.353375543,8.571991206,7.133141921,4.832545178,1.725321645,988.7850199,985.8037521,998.2746784,988.6892043,985.7989098,998.1800664,2000.000000,1000.000000
9.064085725327,0.2099815060,0.1016179414,-0.6290723341E-02,-0.6234009544E-02,1.655453511,4.663956483,6.945029117,8.420556649,9.254565042,9.675327577,9.868080816,9.949101619,9.979729801,9.987254426,9.979028275,9.947075779,9.863246823,9.665072860,9.235455699,8.390254200,6.906333321,4.628513393,1.640528827,988.8708623,985.8104454,998.3594712,988.7850199,985.8037521,998.2746784,2000.000000,1000.000000
9.900428081105,0.2199662051,0.1015976832,-0.5995862816E-02,-0.5942668132E-02,1.577858636,4.473283467,6.726010416,8.237892001,9.130651911,9.603106713,9.830620164,9.931161283,9.970946838,9.981018153,9.970013337,9.928574975,9.824751908,9.591290338,9.109736262,8.206315957,6.687452377,4.439243635,1.563860035,988.9484572,985.8194603,998.4361400,988.8708623,985.8104454,998.3594712,2000.000000,1000.000000
10.77858755467,0.2299812164,0.1015773633,-0.5727301196E-02,-0.5677246217E-02,1.507184525,4.295798564,6.514861240,8.054001751,8.999769665,9.522847190,9.786724520,9.908915874,9.959363029,9.972487280,9.958153940,9.905691843,9.779745635,9.509463436,8.977185141,8.021410362,6.476636616,4.263126791,1.494012162,989.0191313,985.8313197,998.5059878,988.9484572,985.8194603,998.4361400,2000.000000,1000.000000
11.70065500192,0.2400455555,0.1015569431,-0.5481098403E-02,-0.5433872166E-02,1.442394317,4.130104043,6.311588359,7.869941111,8.862866393,9.434828181,9.736115268,9.881841230,9.944410769,9.961099792,9.942883025,9.877908647,9.727968049,9.419899600,8.838767973,7.836575065,6.273853266,4.098756287,1.429966359,989.0839215,985.8465907,998.5700336,989.0191313,985.8313197,998.5059878,2000.000000,1000.000000
12.66882582152,0.2501761017,0.1015363884,-0.5254124924E-02,-0.5209468921E-02,1.382664454,3.974979675,6.116073676,7.686586900,8.720865631,9.339419733,9.678601175,9.849435757,9.925486702,9.946237051,9.923599762,9.844733340,9.669248388,9.322994460,8.695419275,7.652666652,6.078951138,3.944907487,1.370912874,989.1436513,985.8658739,998.6290871,989.0839215,985.8465907,998.5700336,2000.000000,1000.000000
13.68540518211,0.2603880582,0.1015156685,-0.5043856862E-02,-0.5001553168E-02,1.327330753,3.829361979,5.928114048,7.504654481,8.574643943,9.237058307,9.614073233,9.811229258,9.901963875,9.927235671,9.899681669,9.805707960,9.603498978,9.219206771,8.548020987,7.470379190,5.891699777,3.800515326,1.316198202,989.1989850,985.8897920,998.6838018,989.1436513,985.8658739,998.6290871,2000.000000,1000.000000
14.75281351073,0.2706952972,0.1014947553,-0.4848229947E-02,-0.4808092440E-02,1.275849986,3.692323574,5.747450821,7.324716103,8.425014868,9.128223028,9.542495978,9.766789637,9.873205133,9.903402155,9.870497825,9.760414744,9.530705690,9.109034370,8.397387465,7.290263715,5.711818214,3.664652585,1.265287484,989.2504658,985.9189759,998.7347125,989.1989850,985.8897920,998.6838018,2000.000000,1000.000000
15.87359225577,0.2811106223,0.1014736227,-0.4665534085E-02,-0.4627401945E-02,1.227772128,3.563053953,5.573791117,7.147218951,8.272718241,9.013413728,9.463896434,9.715727508,9.838577121,9.874029452,9.835422566,9.708480070,9.450916115,8.992992187,8.244255806,7.112747061,5.538995472,3.536509961,1.217737354,989.2985437,985.9540511,998.7822626,989.2504658,985.9189759,998.7347125,2000.000000,1000.000000
17.05040993807,0.2916459705,0.1014522467,-0.4494335943E-02,-0.4458068780E-02,1.182719985,3.440842242,5.406822696,6.972501857,8.118413798,8.893131519,9.378351799,9.657698974,9.797464227,9.838414529,9.793849033,9.649576512,9.364226640,8.871592954,8.089280383,6.938149048,5.372904704,3.415378372,1.173175995,989.3435958,985.9956247,998.8268240,989.2985437,985.9540511,998.7822626,2000.000000,1000.000000
18.28606850449,0.3023125661,0.1014306046,-0.4333421079E-02,-0.4298895240E-02,1.140373968,3.325062032,5.246223893,6.800810113,7.962678112,8.767862302,9.285976924,9.592406892,9.749281895,9.795875977,9.745202044,9.583423410,9.270769450,8.745330990,7.933030556,6.766697547,5.213212510,3.300633503,1.131288221,989.3859418,986.0442716,998.8687118,989.3435958,985.9956247,998.8268240,2000.000000,1000.000000
19.58350999922,0.3131210393,0.1014086750,-0.4181749864E-02,-0.4148855589E-02,1.100460490,3.215158174,5.091669878,6.632308167,7.806004009,8.638063427,9.186912448,9.519601034,9.693488800,9.745770777,9.688949807,9.509786378,9.170700321,8.614669179,7.775990753,6.598541283,5.059584656,3.191722435,1.091804102,989.4258553,986.1005239,998.9081959,989.3859418,986.0442716,998.8687118,2000.000000,1000.000000
20.94582356870,0.3240815137,0.1013864373,-0.4038423282E-02,-0.4007062479E-02,1.062742969,3.110635331,4.942836198,6.467090269,7.648801827,8.504153489,9.081314252,9.439077483,9.629597471,9.687509442,9.624614109,9.428476147,9.064187864,8.480029124,7.618562227,6.433760469,4.911689183,3.088152077,1.054490126,989.4635728,986.1648596,998.9455099,989.4258553,986.1005239,998.9081959,2000.000000,1000.000000
22.37625281664,0.3352036680,0.1013638723,-0.3902655900E-02,-0.3872740375E-02,1.027014710,3.011048044,4.799400386,6.305189259,7.491402041,8.366505164,8.969344672,9.350677606,9.557183094,9.620568971,9.551778746,9.339347082,8.951404626,8.341784325,7.461066060,6.272375511,4.769197647,2.989479172,1.019142204,989.4993011,986.2376949,998.9808578,989.4635728,986.1648596,998.9455099,2000.000000,1000.000000
23.87820352698,0.3464967729,0.1013409613,-0.3773754174E-02,-0.3745204208E-02,0.9930932036,2.915992109,4.661042229,6.146583809,7.334058911,8.225440857,8.851165727,9.254286817,9.475890328,9.544503186,9.470096013,9.242295620,8.832520302,8.200256145,7.303747087,6.114354132,4.631785095,2.895301645,0.9855800547,989.5332226,986.3193777,999.0144199,989.4993011,986.2376949,998.9808578,2000.000000,1000.000000
25.45525177285,0.3579697055,0.1013176866,-0.3651098802E-02,-0.3623841988E-02,0.9608154742,2.825097121,4.527443210,5.991204452,7.176954967,8.081230913,8.726934393,9.149833310,9.385438058,9.458950276,9.379291245,9.137258787,8.707697065,8.055712300,7.146778544,5.959617251,4.499129267,2.805251112,0.9536426285,989.5655003,986.4101824,999.0463574,989.5332226,986.3193777,999.0144199,2000.000000,1000.000000
27.11115243100,0.3696309401,0.1012940313,-0.3534130261E-02,-0.3508100548E-02,0.9300342791,2.738020042,4.398285519,5.838938769,7.020206178,7.934094080,8.596799855,9.037286822,9.285622150,9.363637513,9.279165417,9.024212864,8.577086926,7.908367570,6.990267354,5.808044017,4.370909403,2.718986450,0.9231843547,989.5962815,986.5103083,999.0768156,989.5655003,986.4101824,999.0463574,2000.000000,1000.000000
28.84984812206,0.3814885157,0.1012699795,-0.3422336926E-02,-0.3397473821E-02,0.9006149805,2.654439742,4.273250973,5.689636063,6.863867753,7.784199904,8.460902515,8.916657458,9.176316299,9.258383273,9.169595938,8.903172220,8.440830907,7.758386399,6.834259967,5.659476317,4.246805004,2.636188327,0.8940720581,989.6257008,986.6198777,999.1059279,989.5962815,986.5103083,999.0768156,2000.000000,1000.000000
30.67547859767,0.3935499792,0.1012455164,-0.3315245392E-02,-0.3291493291E-02,0.8724329980,2.574052475,4.152020125,5.543111817,6.707940505,7.631672719,8.319374498,8.787994550,9.057471176,9.143096601,9.050535801,8.774188258,8.299059738,7.605887068,6.678748740,5.513723087,4.126494805,2.556554678,0.8661824449,989.6538828,986.7389379,999.1338176,989.6257008,986.6198777,999.1059279,2000.000000,1000.000000
32.59239059707,0.4058223049,0.1012206283,-0.3212412727E-02,-0.3189720348E-02,0.8453717703,2.496568266,4.034271791,5.399152187,6.552377729,7.476596901,8.172341339,8.651385507,8.929112076,9.017774655,8.922011304,8.637348428,8.151895761,7.450947108,6.523678804,5.370564662,4.009656189,2.479797093,0.8394000916,989.6809440,986.8674624,999.1605999,989.6538828,986.7389379,999.1338176,2000.000000,1000.000000
34.60514819643,0.4183117896,0.1011953030,-0.3113420489E-02,-0.3091740392E-02,0.8193211814,2.421708211,3.919683171,5.257518727,6.397092534,7.319023067,8.019924537,8.506954605,8.791335330,8.882498397,8.784118574,8.492775229,7.999455727,7.293609642,6.368955376,5.229757373,3.895965214,2.405638118,0.8136158927,989.7069946,987.0053551,999.1863841,989.6809440,986.8674624,999.1605999,2000.000000,1000.000000
36.71854367577,0.4310239245,0.1011695299,-0.3017870381E-02,-0.2997158552E-02,0.7941764160,2.349202682,3.807930662,5.117953444,6.241965542,7.158974911,7.862244680,8.354861681,8.644303748,8.737426919,8.637019157,8.340625145,7.841854166,7.133890362,6.214451433,5.091038492,3.785097355,2.333809468,0.7887259346,989.7321394,987.1524545,999.2112741,989.7069946,987.0053551,999.1863841,2000.000000,1000.000000
38.93760892907,0.4439632459,0.1011433006,-0.2925381416E-02,-0.2905596910E-02,0.7698372148,2.278790413,3.698691440,4.980184260,6.086852853,6.996456406,7.699424887,8.195300697,8.488241348,8.582790802,8.480934911,8.181087476,7.679207081,6.971784856,6.060015661,4.954131603,3.676729023,2.264051109,0.7646307657,989.7564786,987.3085388,999.2353692,989.7321394,987.1524545,999.2112741,2000.000000,1000.000000
41.26762744503,0.4571331667,0.1011166088,-0.2835588487E-02,-0.2816693117E-02,0.7462074966,2.210218406,3.591645794,4.843930860,5.931594147,6.831459120,7.531594335,8.028498179,8.323427633,8.418884874,8.316142458,8.014383049,7.511635721,6.807276057,5.905480549,4.818752378,3.570539852,2.196111174,0.7412350308,989.7801083,987.4733312,999.2587650,989.7564786,987.3085388,999.2353692,2000.000000,1000.000000
43.71414688679,0.4705357933,0.1010894509,-0.2748142172E-02,-0.2730100239E-02,0.7231953083,2.143242596,3.486480146,4.708910861,5.776020794,6.663969437,7.358891714,7.854711548,8.150191667,8.246060698,8.142967434,7.840762814,7.339270285,6.640341591,5.750670502,4.684614692,3.466215687,2.129746635,0.7184474313,989.8031205,987.6465063,999.2815526,989.7801083,987.4733312,999.2587650,2000.000000,1000.000000
46.28299230064,0.4841717315,0.1010618265,-0.2662709612E-02,-0.2645487667E-02,0.7007130557,2.077629155,3.382890651,4.574846191,5.619963809,6.493975506,7.181468484,7.674227385,7.968906155,8.064719088,7.961778729,7.660506362,7.162253403,6.470960852,5.595409815,4.551436964,3.363452161,2.064724607,0.6961809651,989.8256027,987.8276950,999.3038190,989.8031205,987.6465063,999.2815526,2000.000000,1000.000000
48.98027998519,0.4980398878,0.1010337386,-0.2578976248E-02,-0.2562542883E-02,0.6786779599,2.013156304,3.280587217,4.441469512,5.463261512,6.321473771,6.999491856,7.487359674,7.779981730,7.875302918,7.772982933,7.473920404,6.980743335,6.299121655,5.439530360,4.418948568,3.261958698,2.000824172,0.6743533903,989.8476378,988.0164908,999.3256466,989.8256027,987.8276950,999.3038190,2000.000000,1000.000000
51.81243205396,0.5121372702,0.1010051939,-0.2496648177E-02,-0.2480973838E-02,0.6570126781,1.949616476,3.179297749,4.308530541,5.305766743,6.146474973,6.813147452,7.294448105,7.583861613,7.678290417,7.577019128,7.281337281,6.794916820,6.124826353,5.282878830,4.286896140,3.161462759,1.937838550,0.6528878520,989.8693031,988.2124546,999.3471121,989.8476378,988.0164908,999.3256466,2000.000000,1000.000000
54.78619172617,0.5264587975,0.1009762035,-0.2415454888E-02,-0.2400511710E-02,0.6356460233,1.886818662,3.078772432,4.175802051,5.147353485,5.969009533,6.622641633,7.095856483,7.381016780,7.474189121,7.374354175,7.083113551,6.604971580,5.948097333,5.125323410,4.155049583,3.061714115,1.875577450,0.6317136078,989.8906698,988.4151195,999.3682864,989.8693031,988.2124546,999.3471121,2000.000000,1000.000000
57.90863938198,0.5409971196,0.1009467829,-0.2335152125E-02,-0.2320913783E-02,0.6145137171,1.824590781,2.978787822,4.043085398,4.987922779,5.789132276,6.428203485,6.891971301,7.171941745,7.263530606,7.165478595,6.879628725,6.411128447,5.768981824,4.966759726,4.023207606,2.962488950,1.813869452,0.6107667851,989.9118021,988.6239951,999.3892332,989.8906698,988.4151195,999.3682864,2000.000000,1000.000000
61.18720942059,0.5557424584,0.1009169528,-0.2255524640E-02,-0.2241966223E-02,0.5935591157,1.762781901,2.879150573,3.910215388,4.827407826,5.606926422,6.230086487,6.683200545,6.957151006,7.046866069,6.950903093,6.671284187,6.213633155,5.587555987,4.807115987,3.891202600,2.863593593,1.752564231,0.5899911112,989.9327567,988.8385706,999.4100089,989.9118021,988.6239951,999.3892332,2000.000000,1000.000000
64.62970796114,0.5706824723,0.1008867387,-0.2176388639E-02,-0.2163486525E-02,0.5727338523,1.701264185,2.779700627,3.777064363,4.665778195,5.422506860,6.028569866,6.469972727,6.737176209,6.824762780,6.731155789,6.458502327,6.012757788,5.403928235,4.646357227,3.758904739,2.764867714,1.691534512,0.5693385592,989.9535819,989.0583179,999.4306614,989.9327567,988.8385706,999.4100089,2000.000000,1000.000000
68.24433142870,0.5858021503,0.1008561715,-0.2097593743E-02,-0.2085325494E-02,0.5519983533,1.639934432,2.680313718,3.643545379,4.503043080,5.236022669,5.823959653,6.252736171,6.512564005,6.597801415,6.506780112,6.241725896,5.808801894,5.218241812,4.484488582,3.626225169,2.666186836,1.630677626,0.5487698669,989.9743174,989.2826936,999.4512301,989.9535819,989.0583179,999.4306614,2000.000000,1000.000000
72.03968606965,0.6010837394,0.1008252879,-0.2019024335E-02,-0.2007368600E-02,0.5313221934,1.578715154,2.580903117,3.509614434,4.339253585,5.047658895,5.616589439,6.031958542,6.283874564,6.366574182,6.278333344,6.021417570,5.602093292,5.030676590,4.321557589,3.493118236,2.567464085,1.569916576,0.5282548948,989.9949936,989.5111403,999.4717451,989.9743174,989.2826936,999.4512301,2000.000000,1000.000000
76.02480844264,0.6165067085,0.1007941296,-0.1940600230E-02,-0.1929536653E-02,0.5106842710,1.517555112,2.481420554,3.375271690,4.174504038,4.857637604,5.406820835,5.808126542,6.051680655,6.131683677,6.046385714,5.798059673,5.392988537,4.841450133,4.157655499,3.359582717,2.468651118,1.509200593,0.5077728035,990.0156315,989.7430880,999.4922272,989.9949936,989.5111403,999.4717451,2000.000000,1000.000000
80.20918693429,0.6320477513,0.1007627443,-0.1862276621E-02,-0.1851785758E-02,0.4900727949,1.456429318,2.381856316,3.240561729,4.008932350,4.666218224,5.195043610,5.581745748,5.816567205,5.893742315,5.811519952,5.572154006,5.181873056,4.650818022,3.992917628,3.225662059,2.369738210,1.448505131,0.4873120416,990.0362430,989.9779537,999.5126880,990.0156315,989.7430880,999.4922272,2000.000000,1000.000000
84.60278435051,0.6476808294,0.1007311849,-0.1784043327E-02,-0.1774106568E-02,0.4694850861,1.395338503,2.282238539,3.105572858,3.842719488,4.473697198,4.981675493,5.353340477,5.579131168,5.653372207,5.574331153,5.344221693,4.969160919,4.459073481,3.827522802,3.091443678,2.270753557,1.387831340,0.4668701494,990.0568307,990.2151425,999.5331299,990.0362430,989.9779537,999.5126880,2000.000000,1000.000000
89.21606163755,0.6633772575,0.1006995096,-0.1705923387E-02,-0.1696522878E-02,0.4489272072,1.334308092,2.182631775,2.970435577,3.676088103,4.280406985,4.767161598,5.123453589,5.339981577,5.411205285,5.335426806,5.114802946,4.755294224,4.266546340,3.661691955,2.957057403,2.171761824,1.327205043,0.4464533889,990.0773886,990.4540469,999.5535466,990.0568307,990.2151425,999.5331299,2000.000000,1000.000000
